,0
0,933.0979228486647
1,887.213649851632
2,829.8575667655787
3,855.6142433234421
4,812.0207715133531
5,878.2759643916914
6,841.3056379821959
7,917.4243323442137
8,837.7774480712167
9,964.6379821958457
10,871.5489614243323
11,852.7121661721068
12,848.8249258160238
13,852.1454005934718
14,897.459940652819
15,890.8278931750742
16,832.5697329376854
17,825.0712166172107
18,901.7685459940653
19,793.5519287833828
20,835.700296735905
21,823.1186943620178
22,857.3679525222552
23,899.8635014836796
24,841.4451038575668
25,865.3323442136499
26,840.053412462908
27,880.6023738872403
28,838.1721068249258
29,805.3620178041543
30,895.3590504451039
31,884.8575667655787
32,899.2492581602373
33,863.8961424332344
34,845.6379821958457
35,838.786350148368
36,874.1127596439169
37,841.2106824925816
38,876.5994065281899
39,953.3946587537092
40,895.7952522255193
41,876.7715133531158
42,844.5875370919881
43,871.6083086053412
44,910.7804154302671
45,897.9169139465876
46,840.1513353115727
47,927.4243323442137
48,849.1097922848664
49,885.486646884273
50,918.5222551928783
51,868.9910979228487
52,914.6231454005934
53,860.353115727003
54,841.5252225519288
55,821.1810089020771
56,920.0207715133531
57,899.9495548961424
58,824.5252225519288
59,948.2255192878338
60,874.1899109792284
61,898.8456973293769
62,932.9080118694362
63,873.3560830860534
64,862.4510385756677
65,875.3086053412463
66,890.8338278931751
67,892.1780415430267
68,862.786350148368
69,856.9347181008902
70,849.2700296735906
71,878.2195845697329
72,894.4272997032641
73,854.9673590504451
74,867.3323442136499
75,882.9940652818991
76,867.5163204747774
77,857.9080118694362
78,832.4747774480712
79,867.5578635014837
80,870.5964391691394
81,835.7537091988131
82,877.5519287833828
83,859.893175074184
84,880.9554896142433
85,847.6142433234421
86,854.7655786350149
87,892.0415430267062
88,826.2789317507419
89,923.7685459940653
90,889.5727002967359
91,813.0593471810089
92,922.6409495548961
93,905.0890207715133
94,851.8575667655787
95,871.540059347181
96,840.9673590504451
97,846.8249258160238
98,878.4569732937686
99,940.2937685459941
100,947.0029673590504
101,874.6824925816023
102,845.7329376854599
103,877.786350148368
104,887.0504451038576
105,903.053412462908
106,879.1780415430267
107,898.2284866468842
108,848.8694362017804
109,862.5252225519288
110,908.1364985163204
111,856.7388724035608
112,893.813056379822
113,824.1364985163204
114,837.8842729970327
115,860.8456973293769
116,888.0652818991098
117,832.8724035608309
118,878.3175074183977
119,836.4658753709199
120,883.1721068249258
121,888.0237388724036
122,834.3145400593472
123,865.9287833827893
124,851.6023738872403
125,899.6290801186943
126,834.6112759643917
127,814.6290801186943
128,852.5430267062314
129,846.6884272997032
130,846.5697329376854
131,910.3204747774481
132,896.673590504451
133,886.9258160237389
134,857.5459940652819
135,824.9406528189911
136,834.6290801186943
137,904.7210682492581
138,881.2937685459941
139,883.813056379822
140,885.0089020771513
141,860.3679525222552
142,841.7715133531158
143,854.7655786350149
144,929.4451038575668
145,830.0
146,918.8516320474778
147,851.0178041543027
148,841.4243323442137
149,878.486646884273
150,834.1305637982196
151,906.4035608308606
152,850.1008902077151
153,814.0712166172107
154,905.3857566765579
155,836.3056379821959
156,846.1721068249258
157,865.6498516320474
158,893.8486646884273
159,911.9169139465876
160,852.3946587537092
161,908.7062314540059
162,848.053412462908
163,781.1454005934718
164,827.839762611276
165,867.0207715133531
166,880.326409495549
167,842.2047477744807
168,847.0237388724036
169,860.0860534124629
170,899.7121661721068
171,917.4154302670623
172,887.1780415430267
173,889.8783382789318
174,829.3026706231454
175,891.2878338278932
176,823.8902077151336
177,904.1572700296736
178,898.7032640949554
179,862.2314540059347
180,883.1839762611276
181,838.2492581602373
182,888.6706231454006
183,850.4896142433234
184,875.1097922848664
185,891.3946587537092
186,892.8427299703264
187,916.1721068249258
188,865.8813056379822
189,876.0830860534124
190,872.3709198813057
191,920.8308605341247
192,861.3145400593472
193,892.4391691394659
194,856.5014836795252
195,865.1691394658753
196,833.3204747774481
197,837.1246290801187
198,854.1958456973293
199,803.2937685459941
