,ID,Table,Person,Arrival,Duration,Tentative Departure,Departure,Indicator,Neighbors
36,36,I,4,2019-01-01 19:23:56.291344,65.13539822893497,2019-01-01 20:23:09.131247,2019-01-01 20:29:04.415238,1,"[(8, 28), (4, 36), (3, 69), (1, 127)]"
37,37,A,8,2019-01-01 19:33:06.387962,56.73743234023363,2019-01-01 20:24:41.156999,2019-01-01 20:29:50.633902,1,"[(6, 62), (2, 117), (5, 126)]"
38,38,E,8,2019-01-01 19:04:30.856395,88.35371800588399,2019-01-01 20:24:50.150104,2019-01-01 20:32:52.079475,1,"[(2, 66), (5, 79)]"
39,39,D1,6,2019-01-01 19:17:27.221480,74.14223532579484,2019-01-01 20:24:51.343407,2019-01-01 20:31:35.755600,1,"[(1, 31), (6, 39), (4, 44), (5, 87)]"
40,40,K1,8,2019-01-01 19:39:38.494061,50.031142520459966,2019-01-01 20:25:07.465471,2019-01-01 20:29:40.362612,1,"[(4, 32), (8, 40), (6, 41), (1, 116), (7, 124)]"
41,41,K1,6,2019-01-01 19:32:15.236541,58.23378909392543,2019-01-01 20:25:11.625037,2019-01-01 20:30:29.263887,1,"[(4, 32), (8, 40), (6, 41), (1, 116), (7, 124)]"
42,42,L1,6,2019-01-01 19:05:59.808877,87.3425782881062,2019-01-01 20:25:23.949511,2019-01-01 20:33:20.363574,1,"[(4, 35), (6, 42), (3, 76), (5, 115)]"
43,43,I1,3,2019-01-01 19:01:05.483338,92.85703333419538,2019-01-01 20:25:30.412429,2019-01-01 20:33:56.905338,1,"[(4, 112), (2, 120)]"
44,44,D1,4,2019-01-01 19:32:55.535359,58.00462241072518,2019-01-01 20:25:39.423854,2019-01-01 20:30:55.812704,1,"[(1, 31), (6, 39), (4, 44), (5, 87)]"
45,45,F,1,2019-01-01 19:38:02.601503,52.55164148403982,2019-01-01 20:25:49.054675,2019-01-01 20:30:35.699992,1,"[(6, 77), (7, 122)]"
46,46,G,3,2019-01-01 19:30:54.193991,60.44755645702877,2019-01-01 20:25:51.333434,2019-01-01 20:31:21.047378,1,"[(5, 108), (8, 138)]"
47,47,T,4,2019-01-01 19:11:08.041830,82.99097817147151,2019-01-01 20:26:34.822458,2019-01-01 20:34:07.500520,1,"[(6, 90), (7, 137)]"
48,48,J,5,2019-01-01 19:39:34.793540,54.02907376691612,2019-01-01 20:28:41.833927,2019-01-01 20:33:36.537966,1,"[(8, 98), (6, 104), (1, 136), (3, 163)]"
49,49,N1,7,2019-01-01 19:39:36.107069,54.58546773349303,2019-01-01 20:29:13.496218,2019-01-01 20:34:11.235133,1,"[(8, 50), (1, 52), (5, 114), (3, 152)]"
50,50,N1,8,2019-01-01 19:10:18.983630,87.09859066600474,2019-01-01 20:29:29.815848,2019-01-01 20:37:24.899070,1,"[(7, 49), (8, 50), (1, 52), (5, 114), (3, 152), (6, 185)]"
51,51,K,5,2019-01-01 19:22:18.558855,74.2049184942721,2019-01-01 20:29:46.099864,2019-01-01 20:36:30.853965,1,"[(1, 60), (4, 103), (8, 133), (7, 131)]"
52,52,N1,1,2019-01-01 19:16:56.948817,80.57771227776817,2019-01-01 20:30:12.096759,2019-01-01 20:37:31.611554,1,"[(7, 49), (8, 50), (1, 52), (5, 114), (3, 152), (6, 185)]"
53,53,Y,1,2019-01-01 19:17:39.391901,79.84585207543557,2019-01-01 20:30:14.620196,2019-01-01 20:37:30.143026,1,"[(2, 75), (6, 129)]"
54,54,D,4,2019-01-01 19:27:13.917529,69.7063888027815,2019-01-01 20:30:36.084191,2019-01-01 20:36:56.300857,1,"[(2, 145)]"
55,55,M,2,2019-01-01 19:36:19.540841,54.41642976347956,2019-01-01 20:30:44.526627,2019-01-01 20:30:44.526627,0,[]
56,56,U,8,2019-01-01 19:16:09.275725,82.14432897336965,2019-01-01 20:30:49.875487,2019-01-01 20:38:17.935463,1,"[(5, 71)]"
57,57,J1,8,2019-01-01 19:42:01.046268,53.714630469693596,2019-01-01 20:30:50.935203,2019-01-01 20:35:43.924096,1,"[(6, 68), (2, 134)]"
58,58,O,5,2019-01-01 19:09:59.085326,90.60239618372282,2019-01-01 20:32:21.034209,2019-01-01 20:40:35.229097,1,"[(7, 59), (3, 91), (6, 119)]"
59,59,O,7,2019-01-01 19:27:01.534264,72.76083584202173,2019-01-01 20:33:10.307128,2019-01-01 20:39:47.184415,1,"[(5, 58), (7, 59), (3, 91), (6, 119)]"
60,60,K,1,2019-01-01 19:31:19.741271,68.15629761748647,2019-01-01 20:33:17.357505,2019-01-01 20:39:29.119128,1,"[(5, 51), (1, 60), (4, 103), (7, 131), (8, 133)]"
61,61,X,6,2019-01-01 20:19:56.547102,15.939123304214531,2019-01-01 20:34:25.953828,2019-01-01 20:35:52.894500,1,"[(5, 159), (4, 102)]"
62,62,A,6,2019-01-01 19:28:21.693366,73.88765953056465,2019-01-01 20:35:31.929340,2019-01-01 20:42:14.952938,1,"[(2, 117), (5, 126), (7, 172)]"
63,63,H,8,2019-01-01 19:28:50.310825,73.92907253475923,2019-01-01 20:36:02.805691,2019-01-01 20:42:46.055177,1,"[(3, 70), (5, 95), (7, 111)]"
64,64,W,1,2019-01-01 19:48:36.147009,57.33320804985821,2019-01-01 20:40:43.412903,2019-01-01 20:45:56.139492,1,"[(6, 65), (7, 93), (4, 97), (5, 190)]"
65,65,W,6,2019-01-01 20:01:23.980047,45.535532956616464,2019-01-01 20:42:47.736390,2019-01-01 20:46:56.112024,1,"[(1, 64), (6, 65), (7, 93), (4, 97), (5, 190)]"
66,66,E,2,2019-01-01 20:02:51.526443,44.21771604300194,2019-01-01 20:43:03.401864,2019-01-01 20:47:04.589406,1,"[(5, 79)]"
67,67,N,6,2019-01-01 19:46:38.959712,63.01846693703418,2019-01-01 20:43:56.330636,2019-01-01 20:49:40.067728,1,"[(7, 144)]"
68,68,J1,6,2019-01-01 19:35:18.309889,75.72740239254894,2019-01-01 20:44:08.895474,2019-01-01 20:51:01.954033,1,"[(5, 107), (2, 134), (1, 147), (3, 165)]"
69,69,I,3,2019-01-01 19:30:17.703826,81.26975226192828,2019-01-01 20:44:10.599404,2019-01-01 20:51:33.888962,1,"[(1, 127)]"
70,70,H,3,2019-01-01 19:51:52.467584,57.67373233996649,2019-01-01 20:44:18.307530,2019-01-01 20:49:32.891524,1,"[(5, 95), (7, 111)]"
71,71,U,5,2019-01-01 19:33:27.267881,71.41808557996728,2019-01-01 20:44:52.353016,2019-01-01 20:44:52.353016,0,[]
72,72,B,1,2019-01-01 19:30:40.092359,81.63678135282805,2019-01-01 20:44:53.007706,2019-01-01 20:52:18.299240,1,"[(8, 106), (3, 142), (5, 151)]"
73,73,C,1,2019-01-01 19:59:12.868839,50.98929411735151,2019-01-01 20:45:34.103064,2019-01-01 20:50:12.226486,1,"[(4, 96), (6, 176), (8, 192)]"
74,74,H1,6,2019-01-01 19:59:24.666353,51.46966319133131,2019-01-01 20:46:12.102527,2019-01-01 20:50:52.846144,1,"[(7, 182), (3, 178)]"
75,75,Y,2,2019-01-01 19:46:29.976695,65.79494873545781,2019-01-01 20:46:18.792081,2019-01-01 20:52:17.673619,1,"[(6, 129), (8, 195)]"
76,76,L1,3,2019-01-01 19:49:22.151871,63.5730294181845,2019-01-01 20:47:09.771657,2019-01-01 20:52:56.533636,1,"[(5, 115)]"
77,77,F,6,2019-01-01 19:57:16.545985,55.53440378430156,2019-01-01 20:47:45.695282,2019-01-01 20:52:48.610212,1,"[(7, 122), (8, 181)]"
