,0
0,2232.881137064516
1,2205.7339515903227
2,2153.0345794161294
3,2394.0635853451613
4,2258.1986154451615
5,2126.4821986193547
6,2121.018455648387
7,2072.6969889870966
8,2201.796480722581
9,2135.2109856741936
10,2324.6234340870965
11,2220.3774862483874
12,2214.3704013032257
13,2239.6603611096775
14,2188.13895673871
15,2304.7787546709674
16,2308.2148907870965
17,2335.9152297419355
18,2211.8562372709675
19,2120.8867716225805
20,2325.557562322581
21,2184.9824747741936
22,2115.9347770419354
23,2147.7423851064514
24,2202.526454719355
25,2101.2789279290323
26,2248.0581090967744
27,2257.65867553871
28,2316.3024927580645
29,2053.588888783871
30,2061.0286257032258
31,2211.2574098258065
32,2164.508920235484
33,2178.463381754839
34,2340.61186837742
35,2356.7586335580645
36,2314.7511384387094
37,2200.9793120806453
38,2290.5489557387095
39,2142.4134512000005
40,2234.095018519355
41,2117.70081713871
42,2253.5693065
43,1998.0940818483873
44,2362.570534064516
45,2350.522471493549
46,2269.1358965967743
47,2335.0258544645158
48,2321.0422845548387
49,2248.4073102612906
50,2288.1474924000004
51,2292.832841651613
52,2226.2099945483874
53,2161.2775489967744
54,2155.7933073645163
55,2246.5842238387095
56,2157.99296486129
57,2267.4302163774196
58,2231.4009349258063
59,2227.1548430096773
60,2197.638150996774
61,2076.463965764516
62,2227.7300783
63,2441.6014693870966
64,2133.4969628129033
65,2145.9360168258067
66,2243.474649690322
67,2145.7299436870967
68,2205.0398321774196
69,2319.6394895387098
70,2274.0175670774197
71,2315.060849874193
72,2301.4350149741936
73,2483.8564754935483
74,2229.245068867742
75,2125.8198032
76,2241.2414439967743
77,2122.9094920129032
78,2273.368838883871
79,2162.4914027580644
80,2197.478687393548
81,2301.085706041935
82,2151.02671233871
83,2295.0264987225805
84,2356.6290457774194
85,2220.7992493774195
86,2281.4011726612903
87,2354.5779670387096
88,2265.831366096774
89,2426.505623090323
90,2221.0590844387098
91,2242.298707619355
92,2309.304289370968
93,2223.9153919
94,2319.5247131580645
95,2161.1043205258065
96,2226.057703812903
97,2407.6041719290324
98,2328.0142948451607
99,2314.8246358096776
100,2105.154484832258
101,2222.996047293548
102,2148.315317983871
103,2230.788315935484
104,2235.191254787097
105,2308.3454550774195
106,2047.0124744225807
107,2077.1628391612903
108,2192.7112936709677
109,2237.136350735484
110,2219.6128999451616
111,2255.8079487935483
112,2122.346943048387
113,2210.573192396774
114,2367.6818733129035
115,2268.8398499677414
116,2358.9264344516127
117,2209.335768058065
118,2262.7576731000004
119,2157.7366118258064
120,2245.1869638387093
121,2262.794060370968
122,2123.9763725838707
123,2258.105260464516
124,2117.2231840967743
125,2137.3155166806455
126,2347.766713970968
127,2245.415144351613
128,2289.703651319355
129,2228.0104241096774
130,2309.36308663871
131,2423.6937622032256
132,2176.153029467742
133,2227.1405883258067
134,2307.9859682129036
135,2170.7259696451615
136,2240.689248474193
137,2289.2782726838714
138,2334.746616009678
139,2140.5383004935484
140,2117.408701419355
141,2273.6887015387097
142,2340.516394490323
143,2213.4020670677414
144,2238.3508369451615
145,2068.273618206452
146,2326.0593845451613
147,2287.535013464516
148,2200.067501074194
149,2173.0897314483873
150,2313.004793983871
151,2301.8744095838706
152,2314.6090981225807
153,2144.1416121064517
154,2328.729185745161
155,2135.771161629032
156,2249.2788222580643
157,2384.5819329741935
158,2028.3654664096775
159,2242.4136822161286
160,2400.9613441903225
161,2281.5217866354837
162,2204.0222437709676
163,2245.453626848387
164,2236.3059766387096
165,2180.7436391612905
166,2228.407783216129
167,2336.205238193548
168,2372.030625996774
169,2144.1620856612903
170,2285.961253287097
171,2300.4129451225804
172,2073.8400314258065
173,2354.406141564516
174,2369.3986295096774
175,2364.6591279129034
176,2331.2359753225805
177,2200.3360401806453
178,2452.7305015032257
179,2321.164082741935
180,2269.3750194258064
181,2271.762357145161
182,2157.7085508322584
183,2092.911574883871
184,2337.0535074838713
185,2088.316576716129
186,2182.0918050096775
187,2289.401950783871
188,2196.6349199290325
189,2120.1575765774196
190,2174.4572406580646
191,2089.0513596322585
192,2277.6103685741937
193,2220.781495664516
194,2269.179887874194
195,2113.291808212903
196,2368.745523183871
197,2164.986391832258
198,2163.750012632258
199,2089.3084160129033
200,2230.421317819355
201,2203.674642229032
202,2136.5171370225808
203,2273.184453622581
204,2312.007810387097
205,2101.2051122741937
206,2177.6318581096775
207,2165.161786170968
208,2085.308848635484
209,2244.4184752548385
210,2347.6233796870965
211,2320.279316035484
212,2358.563252625807
213,2102.492681209678
214,2230.8450628903224
215,2209.343341306452
216,2304.6537082935483
217,2260.4805831645162
218,2284.0767782193548
219,2258.4577680451616
220,2298.570808748387
221,2259.5610157870965
222,2280.514928351613
223,2375.6255020193544
224,2218.7408529677423
225,2148.1775385354836
226,2225.3813529290323
227,2334.86510606129
228,2181.395533387097
229,2263.1458134741933
230,2164.4551790451615
231,2287.2066127419357
232,2192.9778734903225
233,2205.7387737387094
234,2197.7784978967748
235,2038.8074559709678
236,2203.490095580645
237,2216.265076
238,2326.899712935484
239,2380.5956300064518
240,2220.3421426225805
241,2323.319628406452
242,2198.8540236193553
243,2223.9152133612906
244,2217.624742483871
245,2255.5662379612904
246,2230.9908527774196
247,2068.6258818225806
248,2293.7146722580646
249,2222.9061310548386
250,2195.500505354839
251,2272.974747864516
252,2308.0706106935486
253,2152.029977922581
254,2271.861740332258
255,2395.397522806452
256,2245.2007322258064
257,2280.400257806452
258,2174.5911562741935
259,2205.132989329032
260,2205.6371833677417
261,2236.1117126387094
262,2325.1558830096774
263,2151.7678335741934
264,2070.8851237193544
265,2064.1728058903223
266,2318.3729669258064
267,2205.9211970774195
268,2122.642791696774
269,2373.294382703226
270,2251.6302378903224
271,2307.283715529032
272,2103.481715867742
273,2202.8514684387096
274,2114.0298313096773
275,2006.963123141935
276,2187.551265748387
277,2350.3596797709674
278,2160.7448337225806
279,2137.2638454903226
280,2267.9882171935483
281,2379.1708137032256
282,2203.464171654839
283,2247.021103929032
284,2172.899189016129
285,2107.473438635484
286,2282.6329263225807
287,2220.0770032516134
288,2345.9812532774195
289,2228.023983296774
290,2280.6594078354838
291,2104.660373396774
292,2319.073998751613
293,2315.8749485322583
294,2291.5841719419354
295,2211.9275520935485
296,2189.792639983871
297,2110.251247816129
298,2400.611690251613
299,2208.0738779709673
300,2250.1855759774194
301,2274.3723185645163
302,2336.0822432032255
303,2226.5150499258066
304,2288.7605228548387
305,2223.5674426161286
306,2325.2611549870967
307,2220.395199780645
308,2324.4770450677424
309,2246.1313158903226
310,2229.368565467742
311,2147.79501453871
312,2148.8401968258063
313,2304.632902267742
314,2211.599932454839
315,2250.4970957032256
316,2226.150566212903
317,2260.1430299580643
318,2341.775147116129
319,2385.3882101612903
320,2062.7009753193547
321,2253.412454832258
322,2221.183058322581
323,2219.7327727032257
324,2268.641609919355
325,2112.6835468903228
326,2204.9259424903225
327,2295.411463416129
328,2240.706232445161
329,2511.1617109419353
330,2385.921026880645
331,2355.7391716483867
332,2252.098710874194
333,2164.4639543
334,2162.8393610677417
335,2384.606519667742
336,2181.5221363709675
337,2180.6079409612908
338,2196.6960196096775
339,2331.1195464096777
340,2215.9015166741933
341,2296.5177703161294
342,2316.3026922935483
343,2123.432707348387
344,2199.3469445451615
345,2247.58268623871
346,2392.905064051613
347,2333.3352063870966
348,2099.294797370968
349,2237.875871445161
350,2212.5135451354836
351,2161.583705948387
352,2091.0515781806453
353,2205.403106696774
354,2252.3718596774193
355,2162.0116237677416
356,2247.533636293548
357,2254.2693722129025
358,2272.1446919419354
359,2272.2775192129034
360,2304.2513362870964
361,2054.264117664516
362,2312.4352052290324
363,2243.4535794096773
364,2141.155176693548
365,2349.387126619355
366,2161.5676203129033
367,2246.0854228548387
368,2221.472377670968
369,2294.7972014548386
370,2344.17400146129
371,2412.779984580645
372,2318.100375729032
373,2197.406538216129
374,2287.245756683871
375,2206.8797318645165
376,2324.9925325290324
377,2220.088236845161
378,2263.3897611838706
379,2366.874349683871
380,2346.4196352935483
381,2121.589284270968
382,2295.98255983871
383,2297.6521243064512
384,2165.373822848387
385,2192.292555903226
386,2042.6026168387098
387,2226.272396922581
388,2222.6169892032253
389,2241.106125283871
390,2230.099961612903
391,2288.0542508935487
392,2102.1576990322583
393,2296.5458721806453
394,2246.586831819355
395,2272.401983487097
396,2276.859884054839
397,2234.7012728612904
398,2231.2732087161285
399,2233.9296238548386
400,2192.2270229
401,2347.435389509678
402,2134.3650769225806
403,2276.6030185483874
404,2096.2268170516127
405,2201.5652607096777
406,2219.1385208870965
407,2275.578480816129
408,2285.5356232677423
409,2159.4797881967743
410,2221.282151235484
411,2146.146495229032
412,2233.8183918645163
413,2263.968307774194
414,2306.4481545064514
415,2332.2768163516134
416,2203.0042587838716
417,2224.302159554839
418,2218.827712029032
419,2142.5241477419354
420,2439.985036390323
421,2381.9197630548388
422,2225.420323616129
423,2107.563263019355
424,2224.4414168483872
425,2405.2871963354837
426,2217.5586150258064
427,2157.6281922290323
428,2176.8853504677422
429,2231.251808258064
430,2210.2287673419355
431,2128.8344244225805
432,2196.4136736580645
