,0
0,2715.2378733638393
1,2441.202227154018
2,2665.530483484375
3,2475.3024282544648
4,2672.1282707410714
5,2652.8147708125002
6,2546.3484749263393
7,2527.849028564732
8,2540.8087042165175
9,2442.8919145446425
10,2585.9433364821425
11,2536.2895171249997
12,2526.635944598214
13,2554.687459122768
14,2429.374057796875
15,2418.918739216518
16,2509.593365850447
17,2535.4959108549106
18,2598.362197229911
19,2607.99717221875
20,2525.296962611607
21,2392.096523042411
22,2519.1061362120536
23,2502.4303904977683
24,2632.32496209375
25,2616.8225623459816
26,2472.7081696696428
27,2498.5077955066963
28,2437.0534414620533
29,2508.0257176584823
30,2423.969077698661
31,2562.5167096450896
32,2491.266172988839
33,2486.2937449999995
34,2262.677788171875
35,2575.149540158482
36,2600.3102851763397
37,2641.5170718370537
38,2451.798835734375
39,2444.488746205357
40,2603.9572807633926
41,2494.862882377232
42,2546.7105455870537
43,2533.4097654687503
44,2497.972754319196
45,2597.5688325937494
46,2515.6584706339286
47,2337.757838707589
48,2495.598516234375
49,2432.8150139888394
50,2404.8911108013394
51,2426.8574986272324
52,2534.6416658325898
53,2404.1434761875
54,2475.5710021473215
55,2607.681413227678
56,2565.8904327968744
57,2466.527174868304
58,2690.844960428571
59,2414.6136280267856
60,2500.959152863839
61,2387.274832084822
62,2585.1121193727677
63,2570.2361350424108
64,2541.2410019776785
65,2574.255749359375
66,2413.774060566964
67,2507.557862316964
68,2444.365956049107
69,2469.882249390625
70,2577.81042197991
71,2544.0087019017856
72,2518.4111194598217
73,2504.127143779018
74,2535.6017929508926
75,2471.1546512254467
76,2580.491245357143
77,2629.880402544643
78,2558.5380995178575
79,2442.7933961272324
80,2434.3782636540177
81,2705.757752060268
82,2592.7129435848215
83,2455.83217334375
84,2605.987626982143
85,2628.189378457589
86,2458.498366875
87,2420.0694822343753
88,2436.285558950893
89,2480.281458095982
90,2509.3903416897324
91,2411.4087712120536
92,2706.687407993303
93,2435.839944578125
94,2465.233112424107
95,2467.4076629129463
96,2491.1393566339284
97,2355.8114180691964
98,2621.747290113839
99,2541.1101161651786
100,2568.504482294643
101,2563.1057934129462
102,2630.5266573950894
103,2523.4310649531253
104,2475.973758700893
105,2439.962317665178
106,2552.831282939732
107,2449.884069171875
108,2477.0392537656253
109,2482.6249780580356
110,2530.434237982143
111,2524.7507534196425
112,2405.739654642857
113,2587.423271904018
114,2527.1520274419645
115,2621.991864216518
