ID,Person,Table,Library,Arrival,Departure,Num_Breaks,Break_Start,Break_End,fromStart,tillEnd,Neighbors,Known,yourName,yourTable,yourSeat
5657,2,A,Moffit,2019-03-23 18:20:02.703347,2019-03-23 18:33:47.097748,0,[],[],0,0,"[(5, 7808)]",[],Max,B,2
7808,5,A,Moffit,2019-03-23 18:20:02.705239,2019-03-23 18:42:29.331629,1,"[datetime.datetime(2019, 3, 23, 18, 20, 3, 78134), datetime.datetime(2019, 3, 23, 18, 37, 7, 846659)]","[datetime.datetime(2019, 3, 23, 18, 30, 23, 76207)]",0,1,"[(2, 5657)]",[],Max,B,2
7657,1,B,Stacks,2019-03-23 18:25:41.342617,2019-03-23 18:37:07.846707,1,"[datetime.datetime(2019, 3, 23, 18, 27, 36, 356506)]","[datetime.datetime(2019, 3, 23, 18, 37, 7, 846518)]",1,0,"[(3, 7477), (6, 6146)]","[(3, 7477), (6, 6146)]",Max,B,2
7477,3,B,Stacks,2019-03-23 18:27:35.896722,2019-03-23 18:42:29.331629,2,"[datetime.datetime(2019, 3, 23, 18, 27, 36, 356672), datetime.datetime(2019, 3, 23, 18, 37, 39, 406687)]","[datetime.datetime(2019, 3, 23, 18, 37, 7, 846609), datetime.datetime(2019, 3, 23, 18, 42, 29, 331522)]",0,1,"[(1, 7657), (6, 6146)]","[(1, 7657)]",Max,B,2
6146,6,B,Stacks,2019-03-23 18:34:10.473014,2019-03-23 18:42:29.331629,0,[],[],0,1,"[(1, 7657), (3, 7477)]","[(1, 7657)]",Max,B,2
