,0
0,2766.3462814964028
1,2882.2148000191846
2,2568.019298081534
3,2927.5235486930455
4,2790.0355030191845
5,2744.18317129976
6,2566.939376685851
7,2768.3068265467627
8,2794.6713548441244
9,2739.189743275779
10,2670.800817623501
11,2667.762590038369
12,2750.950125515588
13,2784.9229872925657
14,2860.5024728729018
15,2786.260532800959
16,2803.113552223021
17,2809.506284436451
18,2661.761048208633
19,2789.4678780503596
20,2755.3311315011993
21,2974.101442616307
22,2691.174299882494
23,2722.8620682877704
24,2750.841284091127
25,2792.1590680575537
26,2808.584889832134
27,2872.5617432973618
28,2654.002229827338
29,2699.9734747553957
30,2871.112593179856
31,2888.260371731415
32,2867.4180505155873
33,2567.6811253908872
34,2777.7169982254195
35,2656.5272211918464
36,2745.888160832135
37,2736.4962123884893
38,2830.284931467626
39,2841.6001012805755
40,2831.7816258465227
41,2618.928529956834
42,2871.3947370743404
43,2708.172851515588
44,2555.492824467626
45,3031.9601256211026
46,2781.2537267745797
47,2868.997634563549
48,2786.6274294028776
49,2622.830703911271
50,2732.4231586091128
51,2744.1195797458026
52,2835.1351012350115
53,2761.31601023741
54,2827.114911424461
55,2662.5026008177456
56,2848.884513551559
57,2785.109021083933
58,2742.034562326139
59,2731.8613596258997
60,2538.028890529976
61,2729.7668227937643
62,2912.764997932854
63,2675.524045721822
64,2772.5868917050357
65,2794.5662073573144
66,2720.0179447362107
67,2825.767098117506
68,2719.479513592327
69,2832.356213681055
70,2637.3927130743405
71,2881.13968498801
72,2798.613865484412
73,2678.560965920863
74,2804.75568646283
75,2663.5372878824946
76,2609.2644810047964
77,2790.52913746283
78,2574.051451786571
79,2850.3483669160673
80,2881.632459889688
81,2758.04842911271
82,2681.585728621103
83,2796.865275333333
84,2806.3101660911266
85,2798.5965947458035
86,2794.333063479616
87,2775.9618784412473
88,2907.861089230216
89,2912.0665418992803
90,2860.665169491607
91,2905.828139129497
92,2674.3970840935253
93,2737.8114795347724
94,2717.229879774581
95,2872.0677065443642
96,2895.8218781966425
97,2821.9862037577936
98,2872.2777301990404
99,2820.2028093669064
100,2899.9304342182254
101,2719.551107935252
102,2956.770892657074
103,2690.2024448537168
104,2720.74422110072
105,2579.621513467626
106,2717.0722179304557
107,2822.3757283980817
108,2807.631703201439
109,2618.63080442446
110,2762.9526457242205
111,2848.1293682733813
112,2692.904818736211
113,2730.101189146283
114,2913.0803503405277
115,2811.414301690648
116,2796.5351184316546
117,2602.421556633093
118,2682.530313544364
119,2715.1025841726623
120,2657.1421500239812
121,2746.510495402878
122,2763.929067009592
123,2701.026338956835
124,2886.380697760192
125,2835.99227946283
126,2663.0914727721824
127,2798.817670369305
128,2735.1134063956833
129,2681.5724407889684
130,2585.44799435012
131,2735.4043000335732
132,2767.653328733813
133,2728.544084558753
134,2895.6869844748203
135,2693.891343040767
136,2728.0061614148685
137,2666.751191995204
138,2930.7284288177448
139,2902.91360558753
140,2704.582603443645
141,2809.8625332781776
142,2728.4922908489207
143,2874.0221857098322
144,2770.9867102613903
145,2633.9085709064752
146,2899.984685407674
147,2723.79392922542
148,2830.9178321079135
149,2719.4951535563546
150,2750.1830295131895
151,2826.7938320191847
152,2799.5799755611506
153,2705.506694100719
154,2693.103510055156
155,2721.717133141487
156,2785.437948976019
157,2727.163978422063
158,2817.734609479616
159,2810.850435621103
160,2855.996966177458
161,2910.0136722853717
162,2806.3230068992802
163,2885.818944589928
164,2714.235016489208
165,2689.764659477218
166,2795.0120185467626
167,2654.4134207745797
168,2856.12228322542
169,2611.3937117817745
170,2935.5044184316553
171,2729.6280228297364
172,2900.0512791270985
173,2834.6098390143884
174,2836.7381801750594
175,2916.617117424461
176,2754.140013798561
177,2854.5398525107917
178,2823.7906528153476
179,2883.237070340528
180,2730.6531673669065
181,2971.9463657098318
182,2721.280228796163
183,2707.814583709832
184,2930.804830465228
185,2670.224289580336
186,2772.4740718033577
187,2629.3797114388485
188,2702.9039290215824
189,2607.5522426882494
190,2853.204077326139
191,2729.789390086331
192,2790.500910309352
193,2928.689195534773
194,2714.6746546282975
195,2881.7069526450837
196,2869.133962129496
197,2751.6728199400477
198,2930.547177304556
199,2858.0579375635493
